id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
7129300520,20141013T000000,221900,3,1,1180,5650,1,0,0,3,7,1180,1955,0,98178,47.5112,-122.257,1340,5650
6414100192,20141209T000000,538000,3,2.25,2570,7242,2,0,0,3,7,2170,1951,1991,98125,47.721,-122.319,1690,7639
5631500400,20150225T000000,180000,2,1,770,10000,1,0,0,3,6,770,1933,0,98028,47.7379,-122.233,2720,8062
2487200875,20141209T000000,604000,4,3,1960,5000,1,0,0,5,7,1050,1965,0,98136,47.5208,-122.393,1360,5000
1954400510,20150218T000000,510000,3,2,1680,8080,1,0,0,3,8,1680,1987,0,98074,47.6168,-122.045,1800,7503
7237550310,20140512T000000,1.23E+06,4,4.5,5420,101930,1,0,0,3,11,3890,2001,0,98053,47.6561,-122.005,4760,101930
1321400060,20140627T000000,257500,3,2.25,1715,6819,2,0,0,3,7,1715,1995,0,98003,47.3097,-122.327,2238,6819
2008000270,20150115T000000,291850,3,1.5,1060,9711,1,0,0,3,7,1060,1963,0,98198,47.4095,-122.315,1650,9711
2414600126,20150415T000000,229500,3,1,1780,7470,1,0,0,3,7,1050,1960,0,98146,47.5123,-122.337,1780,8113
3793500160,20150312T000000,323000,3,2.5,1890,6560,2,0,0,3,7,1890,2003,0,98038,47.3684,-122.031,2390,7570
1736800520,20150403T000000,662500,3,2.5,3560,9796,1,0,0,3,8,1860,1965,0,98007,47.6007,-122.145,2210,8925
9212900260,20140527T000000,468000,2,1,1160,6000,1,0,0,4,7,860,1942,0,98115,47.69,-122.292,1330,6000
114101516,20140528T000000,310000,3,1,1430,19901,1.5,0,0,4,7,1430,1927,0,98028,47.7558,-122.229,1780,12697
6054650070,20141007T000000,400000,3,1.75,1370,9680,1,0,0,4,7,1370,1977,0,98074,47.6127,-122.045,1370,10208
1175000570,20150312T000000,530000,5,2,1810,4850,1.5,0,0,3,7,1810,1900,0,98107,47.67,-122.394,1360,4850
