x,y
0.298790247,-1.384988893
0.974428973,-1.255380684
-1.212908377,-3.507549478
-0.385575123,-2.530239106
0.088526778,-1.868422749
1.407484458,-1.345711037
-0.521404462,-1.639662352
0.04448633,-2.589583663
2.855527799,0.23017878
0.0643578,-2.606157058
0.745622664,-2.782588113
-1.131150486,-2.45868487
-0.19973789,-2.37231386
0.567277892,-1.598201834
0.394389625,-2.625214156
0.481808044,-2.098674765
0.425371012,-2.691958396
1.188201705,-0.715418232
0.107412665,-2.240695556
-2.023278567,-2.740388659
0.568773778,-1.437609307
0.532705076,-2.018785178
-0.503544821,-2.735415756
-0.898697058,-3.039636185
1.438041507,-0.252150718
-0.048159666,-2.685248444
0.101014767,-2.523707263
0.950061442,-3.319710333
2.425917586,-1.391526026
1.62476107,-1.583741295
1.330438634,-1.080791648
0.594981595,-1.488810473
1.535011298,-1.873305248
-0.493136571,-3.116258472
0.469514926,-1.875100866
1.433047893,-0.856838858
-1.092911978,-4.110829167
0.623007235,-0.995727326
-2.252462776,-3.779719128
0.985243248,-2.086007909
2.412151275,-1.184385424
0.221225157,-1.691642531
-0.157548525,-2.843741861
-1.529117075,-3.445175991
1.598131311,-1.192591503
1.716562022,-0.588277638
0.138260534,-2.449808609
0.563652996,-2.130344661
1.604659272,-1.766131421
1.264731281,-1.482083423
0.586727633,-1.241697317
-0.535664182,-2.41304796
-2.538290013,-5.845893201
1.5696459,-2.612022212
-0.726437026,-3.245767721
2.044063623,-1.769063657
0.575301817,-1.987744926
-1.501346095,-2.766783154
-0.701532788,-1.437911306
1.804795453,-1.327173024
-0.840892229,-1.388702423
0.863601415,-1.719254193
-0.181514167,-3.894771985
1.158567047,-1.006285405
-2.161634038,-2.676073534
0.443207433,-2.245196733
-0.93479124,-3.350045062
0.671307656,-0.960046398
-0.447690123,-2.761880247
1.586818373,0.477234517
2.485081681,-1.763069084
-0.961067354,-3.039557194
1.543690672,-2.845103752
-0.490114711,-1.81210565
-1.145286803,-3.719792511
1.759466265,-2.471892959
0.331906248,-1.317537164
1.926639345,-0.268760761
-1.380642753,-3.812355251
-0.480826222,-2.048446611
1.538328413,-2.07911159
1.272221527,-2.476736368
-0.947876721,-3.133534094
-1.220448517,-4.89915627
0.746107994,-0.627338401
-0.424732007,-2.377326568
1.188702545,-1.163177981
-0.291324912,-1.495890911
0.369713318,-1.778357846
1.136041668,-2.334760781
0.936939264,-0.799292297
1.353073782,-1.882143385
-0.58644347,-2.677983733
0.737328048,-2.321631906
-0.017995542,-1.717872876
-0.715685813,-2.912421511
-0.47201494,-2.377911382
1.178551359,-0.246485469
1.205652315,-2.128041901
0.330585602,-3.243179475
2.041297804,-1.66341876
-1.655787516,-3.303482147
0.147284329,-1.99751433
0.869302766,-0.696281312
-0.483349001,-1.338040253
1.109329951,-1.509292047
1.633775141,0.139218745
1.154258056,-1.211955104
0.159644471,-3.123417028
1.853600913,-0.823145759
1.653348157,-1.414232526
0.295244548,-0.010182921
-0.460460593,-2.191769316
1.349888318,-1.451018565
-0.44142995,-2.461044246
1.011521497,-2.095313836
0.994004268,-2.975710838
0.663693074,-2.684439546
-1.007441326,-2.200271935
1.415944406,-0.529064218
-0.113671449,-1.415451913
-0.591767911,-2.391158297
-0.207787796,-2.284559216
2.395523181,0.052880088
-0.19521049,-1.387241147
-0.315296785,-2.233287643
-0.954289017,-3.357149215
0.41936105,-1.47775143
1.229494001,-0.575956506
-0.880357954,-2.027841923
-0.213706294,-1.816611924
0.447349347,-1.896503713
-0.854230589,-2.624688747
3.536269091,-0.127907328
0.662601832,-1.384449227
-0.211756109,-2.683522179
0.502252522,-2.761196945
2.079723616,0.454335312
2.59126473,0.093280115
0.925332818,-2.855176107
0.342342671,-2.308892096
-0.0990612,-2.425289857
-0.413105752,-2.056694871
1.776044197,-1.614391823
1.453627598,-0.219397129
1.994543319,-2.237850855
-1.186235956,-3.009405135
-0.212614652,-0.40400681
1.540383282,-1.271639585
0.349495461,-1.59290184
2.116872311,-2.526711987
-0.111367344,-2.226511868
1.112691528,-2.914683965
0.837271019,-1.915951403
1.10239496,-1.429849485
0.318241204,-1.378161794
0.95209681,-2.420802666
0.537907513,-1.940414814
0.111679784,-1.994235786
-0.515764513,-3.275612127
0.010685688,-2.633772754
1.415870293,-1.771195537
0.288227079,-1.652605217
2.099300634,-2.182207504
-0.37367833,-1.975243884
-0.33496027,-3.335902623
0.65397537,-1.458010245
-0.954302698,-3.641559241
-1.065562989,-4.475707183
0.231969744,-1.548963933
0.429144623,-2.174654601
1.512450216,-0.579588334
1.676034035,-0.880749438
0.410839264,-1.649944568
0.866140174,-2.003084264
-0.279334472,-3.862400442
-0.008650053,-1.581617025
0.770344194,-2.521531711
2.185337466,-0.057776857
1.392248427,-1.760471863
-0.351878328,-2.173959017
0.278946936,-3.347530067
1.199905825,-0.713773107
-0.712560717,-1.626903164
0.695631888,-0.724726572
1.826771749,-0.910264312
1.718252134,-1.805419669
0.97859112,-0.353056158
1.376433137,-1.874497691
-0.520534802,-3.134012685
0.071867667,-1.751627402
-0.632437428,-2.03057894
-0.089462754,-2.650931786
-0.379587139,-3.834215321
0.650360522,-0.089472501
1.675340329,-2.589557358
1.653844695,-0.62116832
2.158777078,-1.178284506
0.417726493,-1.943131332
0.450031106,-2.714701523
-1.349184795,-3.615752413
2.073641471,0.213688501
